id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Breanne;Veum;Ubaldo.Adams@gmail.com;between;2025-02-13T18:35:20;4332;25593
2;Paolo;Friesen;Dorris96@hotmail.com;summer;2025-02-13T06:53:52;16324;26815
3;Karen;Little-Parker;Dominique84@hotmail.com;wetly primary till;2025-02-13T21:45:20;23244;18820
4;Lacey;Koss;Antone28@yahoo.com;if chase deliberately;2025-02-13T03:52:41;18484;20131
5;Herminio;Pollich;Ricardo.Zulauf@yahoo.com;discourse;2025-02-12T22:17:42;17260;23144
6;Kenneth;Jaskolski;Chelsea1@gmail.com;if meh consequently;2025-02-13T07:26:40;5601;12192
7;Nikki;Senger;Logan_Considine2@gmail.com;considering;2025-02-13T05:23:46;24902;11696
8;Dixie;Kihn;Kenneth.Boyle26@yahoo.com;creature;2025-02-13T04:18:00;22979;31575
9;Angelita;Stokes;King.Senger41@yahoo.com;oh illusion;2025-02-13T18:28:31;7344;3288
10;Chance;Raynor;Reyes.Lubowitz@yahoo.com;gah;2025-02-13T11:02:04;16504;15455
